imageName,trueNum,predictNum,Accuracy,times
1063_Cloudy,295,301.03955078125,0.9795269465042373,1.5514516830444336
1064_Cloudy,8,7.52293062210083,0.9403663277626038,0.10426926612854004
1065_Cloudy,1,1.2685542106628418,0.7314457893371582,0.07252240180969238
1066_Cloudy,8,8.029067993164062,0.9963665008544922,0.07848000526428223
1067_Cloudy,13,15.073230743408203,0.8405207120455228,0.08859777450561523
1068_Cloudy,1,0.09025125205516815,0.09025125205516815,0.08722257614135742
1069_Cloudy,292,287.5646057128906,0.9848102935372967,0.08943653106689453
1070_Cloudy,291,298.546875,0.9740657216494846,0.10475468635559082
1852_Sunny,201,195.85092163085938,0.9743826946808924,0.08974313735961914
1853_Sunny,242,247.5718994140625,0.97697562225594,0.08550620079040527
1854_Sunny,298,288.5128173828125,0.9681638167208473,0.08144593238830566
1855_Sunny,118,117.36676025390625,0.9946335614737818,0.09677457809448242
1856_Sunny,32,35.0918083190918,0.9033809900283813,0.10171151161193848
1857_Sunny,1,1.2339168787002563,0.7660831212997437,0.06556224822998047
1858_Sunny,42,45.43914031982422,0.918115706670852,0.09078431129455566
1859_Sunny,106,105.79905700683594,0.9981043113852447,0.05167269706726074
665_Rainy,117,123.41536712646484,0.9451678023379073,0.09643769264221191
666_Rainy,111,106.99605560302734,0.9639284288561022,0.05243802070617676
667_Rainy,299,310.38848876953125,0.9619114087975543,0.09583473205566406
668_Rainy,9,9.799253463745117,0.9111940595838759,0.10355401039123535
669_Rainy,227,236.11532592773438,0.9598443791729763,0.09204912185668945
670_Rainy,328,307.77056884765625,0.9383249050233422,0.10804533958435059
671_Rainy,283,285.6216735839844,0.9907361357456382,0.048026323318481445
672_Rainy,293,296.9297180175781,0.9865879931140679,0.07205796241760254
673_Rainy,304,311.4352111816406,0.9755420684814453,0.08951020240783691
